file,entity1,entity2,weighting
conference-edas,Person,Person,1.0
conference-edas,Conference_participant,Attendee,1.0
conference-edas,Organization,Organization,1.0
conference-edas,Reviewer,Reviewer,1.0
conference-edas,has_the_first_name,hasFirstName,1.0
conference-edas,Conference_part,ConferenceEvent,1.0
conference-edas,Workshop,Workshop,1.0
conference-edas,Conference_document,Document,1.0
conference-edas,Paper,Paper,1.0
conference-edas,has_a_review_expertise,hasRating,1.0
conference-edas,has_the_last_name,hasLastName,1.0
conference-edas,Review,Review,1.0
conference-edas,Conference_volume,Conference,1.0
conference-edas,Rejected_contribution,RejectedPaper,1.0
conference-edas,Topic,Topic,1.0
conference-edas,Accepted_contribution,AcceptedPaper,1.0
conference-edas,Regular_author,Author,1.0
cmt-sigkdd,Conference,Conference,1.0
cmt-sigkdd,Paper,Paper,1.0
cmt-sigkdd,ProgramCommitteeMember,Program_Committee_member,1.0
cmt-sigkdd,Document,Document,1.0
cmt-sigkdd,ConferenceChair,General_Chair,1.0
cmt-sigkdd,email,E-mail,1.0
cmt-sigkdd,Review,Review,1.0
cmt-sigkdd,ProgramCommittee,Program_Committee,1.0
cmt-sigkdd,ProgramCommitteeChair,Program_Chair,1.0
cmt-sigkdd,Author,Author,1.0
cmt-sigkdd,submitPaper,submit,1.0
cmt-sigkdd,Person,Person,1.0
edas-ekaw,ConferenceDinner,Conference_Banquet,1.0
edas-ekaw,AcademicEvent,Scientific_Event,1.0
edas-ekaw,AcceptedPaper,Accepted_Paper,1.0
edas-ekaw,isReviewedBy,hasReviewer,1.0
edas-ekaw,Place,Location,1.0
edas-ekaw,AcademiaOrganization,Academic_Institution,1.0
edas-ekaw,SocialEvent,Social_Event,1.0
edas-ekaw,isReviewing,reviewerOfPaper,1.0
edas-ekaw,Organization,Organisation,1.0
edas-ekaw,Author,Paper_Author,1.0
edas-ekaw,isLocationOf,locationOf,1.0
edas-ekaw,Topic,Research_Topic,1.0
edas-ekaw,Document,Document,1.0
edas-ekaw,RejectedPaper,Rejected_Paper,1.0
edas-ekaw,ConferenceEvent,Event,1.0
edas-ekaw,SessionChair,Session_Chair,1.0
edas-ekaw,Person,Person,1.0
edas-ekaw,Programme,Programme_Brochure,1.0
edas-ekaw,Review,Review,1.0
edas-ekaw,Workshop,Workshop,1.0
edas-ekaw,Paper,Paper,1.0
edas-ekaw,Attendee,Conference_Participant,1.0
edas-ekaw,hasLocation,heldIn,1.0
edas-sigkdd,Place,Place,1.0
edas-sigkdd,hasCostAmount,Price,1.0
edas-sigkdd,Person,Person,1.0
edas-sigkdd,hasName,Name_of_conference,1.0
edas-sigkdd,ConferenceVenuePlace,Conference_hall,1.0
edas-sigkdd,Author,Author,1.0
edas-sigkdd,AccommodationPlace,Hotel,1.0
edas-sigkdd,startDate,Start_of_conference,1.0
edas-sigkdd,ConferenceChair,General_Chair,1.0
edas-sigkdd,Conference,Conference,1.0
edas-sigkdd,endDate,End_of_conference,1.0
edas-sigkdd,Review,Review,1.0
edas-sigkdd,Document,Document,1.0
edas-sigkdd,Paper,Paper,1.0
edas-sigkdd,Attendee,Listener,1.0
ekaw-sigkdd,Conference,Conference,1.0
ekaw-sigkdd,Person,Person,1.0
ekaw-sigkdd,Paper,Paper,1.0
ekaw-sigkdd,Review,Review,1.0
ekaw-sigkdd,Invited_Speaker,Invited_Speaker,1.0
ekaw-sigkdd,OC_Member,Organizing_Committee_member,1.0
ekaw-sigkdd,Abstract,Abstract,1.0
ekaw-sigkdd,PC_Chair,Program_Chair,1.0
ekaw-sigkdd,Paper_Author,Author,1.0
ekaw-sigkdd,Document,Document,1.0
ekaw-sigkdd,Location,Place,1.0
cmt-edas,Person,Person,1.0
cmt-edas,Conference,Conference,1.0
cmt-edas,Author,Author,1.0
cmt-edas,Reviewer,Reviewer,1.0
cmt-edas,hasConferenceMember,hasMember,1.0
cmt-edas,memberOfConference,isMemberOf,1.0
cmt-edas,ConferenceChair,ConferenceChair,1.0
cmt-edas,Review,Review,1.0
cmt-edas,Document,Document,1.0
cmt-edas,Paper,Paper,1.0
cmt-edas,hasAuthor,isWrittenBy,1.0
cmt-edas,hasBeenAssigned,isReviewing,1.0
cmt-edas,assignedTo,isReviewedBy,1.0
conference-sigkdd,Abstract,Abstract,1.0
conference-sigkdd,Invited_speaker,Invited_Speaker,1.0
conference-sigkdd,Regular_author,Author,1.0
conference-sigkdd,Review,Review,1.0
conference-sigkdd,Program_committee,Program_Committee,1.0
conference-sigkdd,Conference_volume,Conference,1.0
conference-sigkdd,Conference_fees,Fee,1.0
conference-sigkdd,has_an_email,E-mail,1.0
conference-sigkdd,Paper,Paper,1.0
conference-sigkdd,Organizing_committee,Organizing_Committee,1.0
conference-sigkdd,Person,Person,1.0
conference-sigkdd,Committee,Committee,1.0
conference-sigkdd,is_given_by,presentationed_by,1.0
conference-sigkdd,gives_presentations,presentation,1.0
conference-sigkdd,Conference_document,Document,1.0
confOf-edas,Trip,Excursion,1.0
confOf-edas,Social_event,SocialEvent,1.0
confOf-edas,reviewes,isReviewing,1.0
confOf-edas,Organization,Organization,1.0
confOf-edas,writtenBy,isWrittenBy,1.0
confOf-edas,Working_event,AcademicEvent,1.0
confOf-edas,Reception,Reception,1.0
confOf-edas,hasSurname,hasLastName,1.0
confOf-edas,Workshop,Workshop,1.0
confOf-edas,Author,Author,1.0
confOf-edas,hasFirstName,hasFirstName,1.0
confOf-edas,Event,ConferenceEvent,1.0
confOf-edas,Topic,Topic,1.0
confOf-edas,Country,Country,1.0
confOf-edas,Participant,Attendee,1.0
confOf-edas,Person,Person,1.0
confOf-edas,Member_PC,TPCMember,1.0
confOf-edas,Paper,Paper,1.0
confOf-edas,writes,hasRelatedPaper,1.0
confOf-iasted,Event,Activity,1.0
confOf-iasted,Author,Author,1.0
confOf-iasted,Person,Person,1.0
confOf-iasted,Banquet,Dinner_banquet,1.0
confOf-iasted,Administrative_event,Activity_before_conference,1.0
confOf-iasted,Reception,Coctail_reception,1.0
confOf-iasted,City,City,1.0
confOf-iasted,Tutorial,Tutorial,1.0
confOf-iasted,Country,State,1.0
cmt-conference,Conference,Conference_volume,1.0
cmt-conference,Preference,Review_preference,1.0
cmt-conference,Author,Regular_author,1.0
cmt-conference,Person,Person,1.0
cmt-conference,email,has_an_email,1.0
cmt-conference,Co-author,Contribution_co-author,1.0
cmt-conference,PaperAbstract,Abstract,1.0
cmt-conference,Document,Conference_document,1.0
cmt-conference,Review,Review,1.0
cmt-conference,Conference,Conference,1.0
cmt-conference,ProgramCommittee,Program_committee,1.0
cmt-conference,Chairman,Chair,1.0
cmt-conference,SubjectArea,Topic,1.0
cmt-conference,assignedByReviewer,invited_by,1.0
cmt-conference,assignExternalReviewer,invites_co-reviewers,1.0
