confOf-Administrative_event,Administrative event is a SubClassOf Event and is a SuperClassOf Reviewing event and is a SuperClassOf Submission event and is a SuperClassOf Reviewing results event and is a SuperClassOf Registration of participants event and is a SuperClassOf Camera Ready event and follows Administrative event and parallel with Administrative event
confOf-Administrator,Administrator is a SubClassOf Person
confOf-Assistant,Assistant is a SubClassOf Person
confOf-Author,Author is a SubClassOf only writes Contribution and is a SubClassOf Person and is a SubClassOf some writes Contribution and writes Contribution
confOf-Banquet,Banquet is a SubClassOf Social event
confOf-Camera_Ready_event,Camera Ready event is a SubClassOf Administrative event
confOf-Chair_PC,Chair PC is a SubClassOf Person
confOf-City,City
confOf-Company,Company is a SubClassOf Organization
confOf-Conference,Conference is a SubClassOf Working event
confOf-Contribution,Contribution is a SubClassOf at least 1 of contactEmail and is a SubClassOf exactly 1 of abstract and is a SubClassOf some dealsWith Topic and is a SubClassOf at least 1 of hasKeyword and is a SubClassOf Thing and is a SubClassOf only dealsWith Topic and is a SubClassOf exactly 1 of hasTitle and is a SuperClassOf Short paper and is a SuperClassOf Poster and is a SuperClassOf Paper and dealsWith Topic and writtenBy Author
confOf-Country,Country
confOf-Event,Event is a SuperClassOf Social event and is a SuperClassOf Working event and is a SuperClassOf Administrative event
confOf-Member,Member is a SubClassOf Participant
confOf-Member_PC,Member PC is a SubClassOf some expertOn Topic and is a SubClassOf Person and is a SubClassOf some reviewes Contribution and is a SubClassOf only expertOn Topic and is a SubClassOf only reviewes Contribution and expertOn Topic and reviewes Contribution
confOf-Organization,Organization is a SuperClassOf University and is a SuperClassOf Company
confOf-Paper,Paper is a SubClassOf Contribution
confOf-Participant,Participant is a SubClassOf Person and is a SuperClassOf Regular and is a SuperClassOf Member and is a SuperClassOf Student
confOf-Person,Person is a SubClassOf at least 1 of hasEmail and is a SubClassOf some employedBy Organization and is a SubClassOf at least 1 of hasPostalCode and is a SubClassOf Thing and is a SubClassOf exactly 1 of hasFirstName and is a SubClassOf exactly 1 of hasSurname and is a SubClassOf at least 1 of hasStreet and is a SubClassOf some hasCity City and is a SubClassOf only employedBy Organization and is a SubClassOf some hasCountry Country and is a SuperClassOf Volunteer and is a SuperClassOf Member PC and is a SuperClassOf Science Worker and is a SuperClassOf Participant and is a SuperClassOf Assistant and is a SuperClassOf Chair PC and is a SuperClassOf Scholar and is a SuperClassOf Author and is a SuperClassOf Administrator and employedBy Organization
confOf-Poster,Poster is a SubClassOf Contribution
confOf-Reception,Reception is a SubClassOf Social event
confOf-Registration_of_participants_event,Registration of participants event is a SubClassOf Administrative event
confOf-Regular,Regular is a SubClassOf Participant
confOf-Reviewing_event,Reviewing event is a SubClassOf Administrative event
confOf-Reviewing_results_event,Reviewing results event is a SubClassOf Administrative event
confOf-Scholar,Scholar is a SubClassOf some studyAt University and is a SubClassOf only studyAt University and is a SubClassOf Person and studyAt University
confOf-Science_Worker,Science Worker is a SubClassOf Person
confOf-Short_paper,Short paper is a SubClassOf Contribution
confOf-Social_event,Social event is a SubClassOf exactly 1 of defaultChoice and is a SubClassOf Event and is a SubClassOf exactly 1 of has title and is a SubClassOf exactly 1 of location and is a SuperClassOf Reception and is a SuperClassOf Banquet and is a SuperClassOf Trip
confOf-Student,Student is a SubClassOf Participant
confOf-Submission_event,Submission event is a SubClassOf Administrative event
confOf-Topic,Topic
confOf-Trip,Trip is a SubClassOf Social event
confOf-Tutorial,Tutorial is a SubClassOf Working event
confOf-University,University is a SubClassOf Organization
confOf-Volunteer,Volunteer is a SubClassOf Person
confOf-Working_event,Working event is a SubClassOf exactly 1 of defaultChoice and is a SubClassOf some hasTopic Topic and is a SubClassOf exactly 1 of has title and is a SubClassOf only hasTopic Topic and is a SubClassOf exactly 1 of location and is a SubClassOf Event and is a SuperClassOf Tutorial and is a SuperClassOf Conference and is a SuperClassOf Workshop and hasAdministrativeEvent Administrative event and hasTopic Topic
confOf-Workshop,Workshop is a SubClassOf Working event
confOf-Thing,Thing is a SuperClassOf Person and is a SuperClassOf Contribution
edas-AcademiaOrganization,AcademiaOrganization is a SubClassOf Organization
edas-AcademicEvent,AcademicEvent is a SubClassOf ConferenceEvent and is a SuperClassOf OrganizationalMeeting and is a SuperClassOf TalkEvent and is a SuperClassOf PaperPresentation and is a SuperClassOf Workshop and hasCall Call
edas-AcceptRating,AcceptRating is a SubClassOf ReviewRating
edas-AcceptedPaper,AcceptedPaper is a SubClassOf Paper and relatedToEvent PaperPresentation
edas-AccommodationPlace,AccommodationPlace is a SubClassOf Place
edas-AccpetIfRoomRating,AccpetIfRoomRating is a SubClassOf ReviewRating
edas-ActivePaper,ActivePaper is a SubClassOf Paper and is a SuperClassOf RatedPapers and hasRating ReviewRating
edas-AntennasTopic,AntennasTopic is a SubClassOf Topic
edas-Attendee,Attendee is a SubClassOf Person
edas-Author,Author is a SuperClassOf Presenter and hasRelatedPaper Paper
edas-BreakEvent,BreakEvent is a SubClassOf NonAcademicEvent and is a SuperClassOf MealBreak and is a SuperClassOf CoffeeBreak and is a SuperClassOf FreeTimeBreak
edas-CADTopic,CADTopic is a SubClassOf Topic
edas-Call,Call is a SuperClassOf CallForManuscripts and is a SuperClassOf CallForReviews and is a SuperClassOf CallForPapers and forEvent AcademicEvent and isInitiatedBy ConferenceChair or SessionChair or TPCMember
edas-CallForManuscripts,CallForManuscripts is a SubClassOf Call
edas-CallForPapers,CallForPapers is a SubClassOf Call
edas-CallForReviews,CallForReviews is a SubClassOf Call
edas-ClosingTalk,ClosingTalk is a SubClassOf TalkEvent
edas-CoffeeBreak,CoffeeBreak is a SubClassOf BreakEvent
edas-CommunicationTheoryTopic,CommunicationTheoryTopic is a SubClassOf Topic
edas-CommunicationsTopic,CommunicationsTopic is a SubClassOf Topic
edas-ComputerArchitectureTopic,ComputerArchitectureTopic is a SubClassOf Topic
edas-ComputerNetworksAapplicationsTopic,ComputerNetworksAapplicationsTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksEnterpriseTopic,ComputerNetworksEnterpriseTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksManagementTopic,ComputerNetworksManagementTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksMeasurementsTopic,ComputerNetworksMeasurementsTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksOpticalTopic,ComputerNetworksOpticalTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksSecurityTopic,ComputerNetworksSecurityTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksSensorTopic,ComputerNetworksSensorTopic is a SubClassOf ComputerNetworksTopic
edas-ComputerNetworksSwitchingTopic,ComputerNetworksSwitchingTopic is a SubClassOf ComputerNetworksTopic
